Country Name;Country Code;Indicator Name;Indicator Code;2013;2014;2015;2016;2017;2018;2019
Chine, RAS de Hong Kong;HKG;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;7;7;8;8;8;8;8
Honduras;HND;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;9;8;8;8;8;8;8
Pays pauvres très endettés (PPTE);HPC;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4,657894737;4,657894737;4,666666667;4,820512821;5;5,128205128;5,076923077
Croatie;HRV;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5;5;5;5;5;5;5
Haïti;HTI;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;2;2;2;2;2
Hongrie;HUN;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;6;9;9;9;9;9;9
BIRD seulement;IBD;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4,28358209;4,507462687;4,805970149;4,895522388;5,223880597;5,417910448;5,671641791
BIRD et IDA;IBT;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4,535714286;4,671428571;4,85106383;4,985815603;5,290780142;5,468085106;5,680851064
IDA totale;IDA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4,767123288;4,821917808;4,891891892;5,067567568;5,351351351;5,513513514;5,689189189
IDA mélange;IDB;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4,266666667;4,266666667;4,6;5;5,2;5,4;5,533333333
Indonésie;IDN;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4;4;5;6;6;6;6
IDA seulement;IDX;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4,896551724;4,965517241;4,966101695;5,084745763;5,389830508;5,542372881;5,728813559
Île de Man;IMN;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;;;;;
Inde;IND;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;6;6;6;6;8;9;9
Non classifié;INX;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;;;;;
Irlande;IRL;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;7;7;7;7;7;7;7
Iran, République islamique d’;IRN;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;2;2;2;2;2
Iraq;IRQ;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;0;0;0;0;0;0;0
Islande;ISL;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4;4;4;4;4;4;4
Israël;ISR;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;6;6;6;6;6;6;6
Italie;ITA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;2;2;2;2;2
Jamaïque;JAM;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;6;10;9;9;9;9;9
Jordanie;JOR;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;0;0;0;0;0;0;11
Japon;JPN;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5;5;5;5;5;5;5
Kazakhstan;KAZ;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;3;3;4;4;6;6;8
Kenya;KEN;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;7;7;7;7;7;10;11
République kirghize;KGZ;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;8;8;8;8;9;9;9
Cambodge;KHM;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;10;10;10;10;10;10;10
Kiribati;KIR;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4;4;4;4;4;4;4
Saint-Kitts-et-Nevis;KNA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5;5;5;5;5;5;5
Corée, République de;KOR;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5;5;5;5;5;5;5
Koweït;KWT;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;1;1;1;1;1;1;1
Amérique latine et Caraïbes (hors revenu élevé);LAC;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;3,863636364;4,363636364;5,045454545;5,045454545;5,045454545;5,090909091;5,090909091
République démocratique populaire lao;LAO;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;6;6;6;6;6;6
Liban;LBN;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;2;2;2;2;2
Libéria;LBR;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5;5;9;9;10;10;10
